timeStamp,elapsed,label,success,bytes,sentBytes,grpThreads,allThreads,Latency
1650368481584,12,[USER] DELETE USER [ITERATE 1000],true,153,182,2,2,12
1650368481594,5,[USER] DELETE USER [ITERATE 1000],true,153,182,2,2,5
1650368481596,7,[PET] DELETE PET [ITERATE 1000],true,159,181,2,2,7
1650368481600,3,[PET] DELETE PET [ITERATE 1000],true,159,181,2,2,3
1650368481603,6,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,3,3,6
1650368481603,6,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,3,3,6
1650368481604,6,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,6
1650368481610,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650368481612,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650368481614,5,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,5
1650368481620,1,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,1
1650368481621,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,2
1650368481624,4,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,4
1650368481628,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650368481630,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650368481633,4,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,4
1650368481637,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650368481639,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650368481644,3,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,3
1650368481647,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650368481649,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650368481654,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650368481655,1,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,1
1650368481657,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,1
1650368481664,1,[USER] DELETE USER [ITERATE 1000],true,153,182,1,1,1
1650368481665,2,[PET] DELETE PET [ITERATE 1000],true,159,181,1,1,2
1650368481667,3,[STORE] DELETE ORDER [ITERATE 1000],true,159,189,1,1,3
1650368481674,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650368481675,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650368481677,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650368481684,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650368481686,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650368481688,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650368481694,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650368481696,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650368481698,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650368481704,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650368481705,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650368481707,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650368481714,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650368481715,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650368481717,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650368481724,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650368481725,2,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,2
1650368481727,1,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,1
1650368481734,1,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,1
1650368481736,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650368481737,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650368481744,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650368481746,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650368481747,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650368481754,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
1650368481756,1,[PET] DELETE PET [ITERATE 1000],true,159,182,1,1,1
1650368481757,2,[STORE] DELETE ORDER [ITERATE 1000],true,159,190,1,1,2
1650368481763,2,[USER] DELETE USER [ITERATE 1000],true,154,183,1,1,2
